Test Name,pheno,contrast,estimate,SE,df,t.ratio,p.value
Jay Test 1,Seed Quality,N18-1674 - Checks,0.21967711130633358,0.21495345800384613,56.68445100968138,1.0219752375530657,0.9982287291398918
Jay Test 1,Seed Quality,N18-1682 - Checks,0.17470653312677298,0.2149534580038461,56.68445100968138,0.8127644688723593,0.9999041900285123
Jay Test 1,Seed Quality,N18-1731 - Checks,0.4224083118125169,0.2149534580038461,56.68445100968138,1.9651152195232835,0.6129716934091419
Jay Test 1,Seed Quality,N18-1751 - Checks,0.3460592949176669,0.2149534580038462,56.68445100968138,1.6099266237972074,0.869696437689034
Jay Test 1,Seed Quality,N18-1763 - Checks,0.10768488023252071,0.2149534580038461,56.684451009681176,0.5009683548826367,0.999999922619162
Jay Test 1,Seed Quality,N18-1855 - Checks,0.3010887167381063,0.21495345800384616,56.68445100968138,1.400715855116501,0.9550030624499952
Jay Test 1,Seed Quality,N18-1956 - Checks,0.1785690257486872,0.2149534580038462,56.68445100968138,0.8307334406571493,0.9998713628258619
Jay Test 1,Protein + Oil (% dry basis),LMN09-119 - Checks,5.988333333332877,0.2749878223723888,56.9999999999998,21.776721898700917,0
Jay Test 1,Protein + Oil (% dry basis),N09-09 - Checks,2.6870833333328648,0.2749878223723888,56.9999999999998,9.771644831944645,1.4797052472204086e-12
Jay Test 1,Protein + Oil (% dry basis),N18-1572 - Checks,2.87708333333286,0.2749878223723888,56.9999999999998,10.462584519239948,1.1890488593735427e-13
Jay Test 1,Protein + Oil (% dry basis),N18-1595 - Checks,3.4795833333328985,0.2749878223723888,57.000000000000014,12.653590632900258,0
Jay Test 1,Protein + Oil (% dry basis),N18-1604 - Checks,1.7695833333328508,0.2749878223723887,56.9999999999998,6.435133447242182,4.6945110565577153e-7
Jay Test 1,Protein + Oil (% dry basis),N18-1620 - Checks,1.6395833333328524,0.2749878223723887,56.9999999999998,5.962385240145389,2.8177383338823248e-6
Jay Test 1,Protein + Oil (% dry basis),N18-1632-1 - Checks,4.009583333332896,0.2749878223723888,57.000000000000014,14.580948707987199,0
Jay Test 1,Protein + Oil (% dry basis),N18-1632-2 - Checks,4.0770833333328556,0.2749878223723888,56.9999999999998,14.826414123210391,0
Jay Test 1,Protein + Oil (% dry basis),N18-1635 - Checks,1.92833333333289,0.2749878223723887,57.000000000000014,7.012431738600917,5.157244131748229e-8
Jay Test 1,Protein + Oil (% dry basis),N18-1641 - Checks,1.2970833333329042,0.2749878223723888,57.000000000000014,4.716875540679007,2.705555221500511e-4
Jay Test 1,Protein + Oil (% dry basis),N18-1674 - Checks,3.0083333333328937,0.2749878223723887,57.000000000000014,10.939878382174344,2.0761170560490427e-14
Jay Test 1,Protein + Oil (% dry basis),N18-1682 - Checks,2.47958333333287,0.2749878223723888,56.9999999999998,9.017065962924772,2.4615198768174196e-11
Jay Test 1,Protein + Oil (% dry basis),N18-1731 - Checks,3.194583333332876,0.2749878223723888,56.9999999999998,11.617181101957192,1.887379141862766e-15
Jay Test 1,Protein + Oil (% dry basis),N18-1751 - Checks,1.8508333333328935,0.2749878223723888,56.9999999999998,6.730601076677836,1.518666381539191e-7
Jay Test 1,Protein + Oil (% dry basis),N18-1763 - Checks,4.0083333333328595,0.2749878223723888,56.9999999999998,14.5764030521496,0
Jay Test 1,Protein + Oil (% dry basis),N18-1855 - Checks,4.732083333332897,0.27498782237238883,56.9999999999998,17.208337782044413,0
Jay Test 1,Protein + Oil (% dry basis),N18-1956 - Checks,2.6658333333328508,0.2749878223723888,56.9999999999998,9.694368682707617,1.968536444962865e-12
Jay Test 1,Protein Meal,LMN09-119 - Checks,9.494277218836658,0.3775577599939256,56.999999999999595,25.146555639564678,0
Jay Test 1,Protein Meal,N09-09 - Checks,4.782106114342253,0.3775577599939255,56.999999999999595,12.665892801194689,0
Jay Test 1,Protein Meal,N18-1572 - Checks,4.1585167732033215,0.3775577599939256,56.999999999999595,11.014253218554497,1.6986412276764895e-14
Jay Test 1,Protein Meal,N18-1595 - Checks,5.8302986625271815,0.37755775999392566,56.999999999999595,15.442137019302642,0
Jay Test 1,Protein Meal,N18-1604 - Checks,2.782847719796597,0.37755775999392555,56.999999999999595,7.370654280397705,1.304044028316298e-8
Jay Test 1,Protein Meal,N18-1620 - Checks,2.583060541716438,0.37755775999392555,56.999999999999595,6.84149768702409,9.931907796190131e-8
Jay Test 1,Protein Meal,N18-1632-1 - Checks,5.723042241796741,0.3775577599939256,56.99999999999939,15.158057516520962,0
Jay Test 1,Protein Meal,N18-1632-2 - Checks,5.772788095758271,0.37755775999392555,56.99999999999939,15.28981445342601,0
Jay Test 1,Protein Meal,N18-1635 - Checks,2.726402477208167,0.37755775999392555,56.999999999999595,7.221153333603928,2.314964486771487e-8
